IID	type	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
Ind29	PP	908305	557472	629061	391039	266145	266207	169454	208020	148388	141522	157046	156226	115607	175249	31380	111803	175015	83995	71222	60698	95348	35477	92069	59300	97420	62924	45035	33632	78261	41839	39735	39643	24315	55885	38064	28657	27207	22314	26500	31444	17052	23770	21946	20724	18854	13275	18539	10718	12482	25933
Ind30	PP	1098585	624442	514097	419968	291718	253139	201386	195976	156591	160465	152463	135985	136384	199251	83119	108883	121241	84715	79947	70553	102448	44662	68058	65437	62182	61637	51583	36539	62239	43357	39978	35015	34505	33267	38355	20564	21081	23709	21117	38240	25007	20761	19963	16874	19161	16543	12977	9210	14567	17949
Ind31	PP	1100886	905514	694191	429374	277005	289856	214095	226428	217850	255947	115379	178034	99208	130312	45998	129873	135037	84853	79529	81328	131518	62205	80662	55133	78285	52834	101431	46303	62355	54964	33676	38394	29565	24904	34358	28649	25577	27093	21414	34817	19909	24204	18277	25646	22332	15446	16076	12835	16445	18324
Ind32	PP	1034237	614657	558427	357245	333764	249088	192940	174735	206518	200339	112610	190343	112095	185043	41149	86026	147646	97854	98247	70437	121933	51910	67559	57025	50531	55891	72496	39123	16915	41251	40217	33488	21676	30599	34129	21663	18397	24330	21363	35531	21839	18184	16730	22190	23369	11153	13798	13869	12288	15043
Ind33	GG	1312398	508431	500845	471035	264991	241377	201058	151896	119568	112258	135951	93303	132847	98815	26893	111611	37703	88297	96546	66297	75413	60790	69210	78718	72242	52170	36488	48637	75753	40209	43932	24815	35323	19370	27682	23983	29152	26099	24136	17386	21191	22470	25900	16895	15918	18221	12695	14815	14536	15372
Ind34	GG	1113885	708590	470594	566641	256107	241798	229570	152601	137128	149952	114963	111804	97860	131368	195880	116742	104495	72443	79457	82850	88844	76450	71384	41534	52973	52728	56311	43186	39458	49409	36001	41277	71693	47619	28416	27362	22446	22865	19675	25145	20928	18127	17897	15390	17641	15803	20912	16718	12417	14769
Ind35	GG	1209677	643402	468140	414450	284615	249068	180687	176460	173186	139267	114378	106559	126714	99462	51400	83070	135479	105247	59767	103173	58461	86848	69106	41935	29905	41329	54033	51008	45151	32314	27812	35012	27690	31099	17742	13528	22272	22680	20976	21574	18634	19487	13961	13030	18924	22351	11430	14227	17114	16978
Ind36	GG	1018450	578564	539221	372253	321243	281387	194981	204302	180396	166224	140544	126304	111033	116002	47893	118825	117675	86715	98054	79345	89981	48617	83061	52792	72306	57247	50758	35572	61440	46056	41852	38359	30617	38083	32288	22985	26105	23116	21717	27878	21050	21383	21206	17980	20803	13672	16620	14522	14271	17344
Ind37	GG	1141820	637441	530126	402072	249112	220618	220841	196973	151720	145017	121977	114254	104875	154164	137924	105029	115267	93924	84608	78318	80152	76164	93881	42972	71087	48047	44681	51792	89196	38569	31354	33330	40901	39677	26453	26508	25052	20011	19358	36575	22686	21813	17066	19123	19311	12972	18035	16273	13390	13224
Ind38	GG	1005712	500277	466389	330939	291034	228049	201869	195466	172406	142865	91779	103708	87058	66863	12614	108756	109326	56380	89697	77267	68826	59958	89275	56072	53170	50269	63913	32309	18894	44536	33445	35938	26800	29563	30932	27366	32151	21521	19624	19612	17847	23175	16252	20526	19679	12547	16315	17409	15214	17882
Ind39	GG	1373428	478523	442241	711582	206570	210625	211503	151618	116060	108695	134757	92613	136818	152972	188831	104508	87905	79556	110687	77043	70898	55430	82269	50843	63592	51112	31707	42460	32786	40072	34751	37107	63069	65820	26396	33536	26963	26268	20773	21304	23909	18251	17814	15208	14070	16714	14428	14130	16943	14488
Ind40	GG	1002691	406750	463041	375878	247665	224576	182235	150924	115942	129262	116678	94170	104590	142964	45185	111519	96561	82590	106635	71708	104427	78496	54858	100699	63024	50229	49131	51673	19093	55921	25830	34922	28462	49266	28269	28089	27135	21620	20490	27694	19924	23040	25181	22396	15713	17731	12264	18657	13396	11560
