X.1.	miR.001	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
88	[1]	0.13448	0.13448	-0.2037647	-0.4258021	0.3009332	-0.583008	-0.3342142	-0.01537395	-0.5069682	-0.4552135	-0.3066585	0.3431212	-0.2279246	-0.3569623	-0.4720315	0.3274209	-0.08253149	0.06494526	-0.3758666	-0.2618682	0.2387729	-0.3358885	0.1683455	-0.266957	-0.5046743	-0.1614207	-0.5414023	-0.125123	0.1998112	0.3072744	-0.159002	0.1531528	0.3165901	0.5859523	0.3289667	-0.4121199	0.1611545	-0.2117904	-0.4252176	-0.3296729	-0.5203147	-0.09597622	-0.6205816	-0.5586639	-0.2736368	-0.4115761	-0.2231705	0.4428168	0.2172738	0.07101509	-0.2662714
89	[1]	-0.1250557	-0.1250557	0.3003137	0.4796113	-0.3577301	0.5351623	0.2627841	0.1896178	0.3966502	0.4908442	0.5720047	-0.4224205	0.4035674	0.2191027	0.4818787	-0.3290661	0.06613891	-0.05413698	0.3724861	0.09975807	-0.05452886	0.5765092	-0.07876638	0.1584921	0.3544664	-0.137762	0.4744599	0.4090754	-0.3089637	-0.3730219	0.1817644	-0.06695302	-0.2855002	-0.461754	-0.4100302	0.3086159	-0.1561329	-0.08110687	0.2938788	0.06305521	0.527032	0.1335001	0.3087583	0.3395083	0.4525523	0.5973881	0.1561616	-0.4493211	-0.2901861	-0.1426665	0.07001041
90	[1]	-0.04014109	-0.04014109	0.2702146	0.6213616	-0.4498744	0.724126	-0.08411208	0.151318	0.7895297	0.6910241	0.5002009	-0.6386901	0.2995575	0.1835368	0.3550649	-0.3675853	0.1389839	-0.1114124	0.5036874	0.2904585	-0.17765	0.350388	0.06755061	0.2415628	0.400896	0.05127031	0.4087196	0.385224	-0.07155485	-0.2319929	0.1095804	-0.1445381	-0.4815172	-0.6848734	-0.5326981	0.3774447	-0.4895655	0.1069548	0.3071777	0.2765335	0.6060461	0.1548393	0.4873348	0.3192026	0.5535833	0.6491076	-0.1187016	-0.4300062	-0.004334717	0.3918489	0.332185
91	[1]	0.5634771	0.5634771	-0.1659444	-0.5354136	0.1791196	-0.5595216	-0.0787716	0.335276	-0.587299	-0.4038493	-0.3517495	0.3658624	-0.3314073	-0.4005395	-0.618971	0.1269057	-0.2793199	0.005690429	-0.4110637	-0.2774626	0.5703881	-0.3157454	0.3782062	-0.5359189	-0.4371777	-0.5312943	-0.5760046	-0.2880926	0.146756	0.14318	-0.3650346	0.04848676	0.1886002	0.5318143	0.1770838	-0.582521	0.04449892	-0.2686877	-0.2729025	-0.4495834	-0.6609996	-0.384536	-0.6316571	-0.5229701	-0.4353957	-0.2376198	0.1226732	0.28713	0.2945301	0.3264839	-0.5815581
92	[1]	-0.1839634	-0.1839634	0.245121	0.7128788	-0.5079528	0.7869118	0.214803	0.052098	0.8086391	0.6750439	0.5526615	-0.6362407	0.3209157	0.4094685	0.5460621	-0.5347337	0.1698227	-0.1599703	0.4976119	0.1792864	-0.3333675	0.4715521	-0.07265505	0.3445186	0.5805588	0.1227375	0.6260457	0.3626867	-0.2475093	-0.314493	0.1875816	-0.1651748	-0.5676642	-0.7966554	-0.6435324	0.4597768	-0.3817295	0.1934172	0.4477564	0.3557127	0.7337557	0.1659842	0.6699436	0.5754515	0.5827472	0.6918922	0.119388	-0.6376768	-0.1791231	0.1601018	0.4007812
93	[1]	-0.2115135	-0.2115135	0.1120334	0.6359321	-0.5351424	0.7236744	0.2395142	0.04770239	0.6726404	0.6169773	0.594123	-0.605073	0.3164317	0.3749981	0.5617065	-0.5105163	0.1538656	-0.2944144	0.4966548	0.2756502	-0.2721433	0.549313	-0.05816769	0.2872258	0.6673244	0.03404403	0.5666019	0.4237229	-0.3803976	-0.5562885	0.2909144	-0.2069931	-0.5395039	-0.7568686	-0.6264861	0.3420129	-0.3334657	0.1798632	0.4283903	0.2346369	0.7000244	0.2099908	0.6388859	0.6580129	0.6403489	0.6661953	0.2287109	-0.6836817	-0.2069221	0.01170144	0.2450433
94	[1]	-0.132824	-0.132824	0.1328951	0.5600934	-0.2998975	0.6055706	0.2684982	0.05015551	0.5503014	0.426548	0.5297143	-0.5343381	0.3868099	0.5625225	0.7585635	-0.432037	0.1484144	-0.1646104	0.4545543	0.2474865	-0.2729514	0.5585362	-0.1566758	0.2225159	0.4881723	0.04089996	0.5841584	0.2564119	-0.3295065	-0.4339088	0.1721691	-0.186044	-0.4318153	-0.5685984	-0.4946158	0.3483353	-0.1761257	-0.052627	0.3686196	0.3182542	0.7202068	0.2664076	0.3564395	0.5201958	0.4502814	0.5265651	0.2267517	-0.5984193	-0.3506686	-0.1939858	0.1713358
95	[1]	-0.2274686	-0.2274686	0.1726326	0.6350986	-0.4986338	0.6185843	0.2877669	-0.01000945	0.6080124	0.5078879	0.5135104	-0.4871583	0.3170333	0.295696	0.5372231	-0.4900313	0.2486906	-0.125342	0.3729438	0.1267452	-0.3624138	0.4638918	-0.1158045	0.4449159	0.4594982	0.1440493	0.5756395	0.2861012	-0.3543775	-0.3727521	0.1669249	-0.1526986	-0.4079882	-0.6323719	-0.4880366	0.3260776	-0.2734766	0.07482347	0.2969185	0.225024	0.6482255	0.2040895	0.5430135	0.5395464	0.4728334	0.6051348	0.02962637	-0.5191201	-0.2486439	-0.1144041	0.3370306
96	[1]	-0.2690156	-0.2690156	0.06736275	-0.2280491	0.285181	-0.540262	-0.1315497	-0.3957223	-0.4049235	-0.2713384	-0.1143165	0.4828066	0.1202825	-0.1477848	-0.1564225	0.2956337	0.1433515	0.3723167	-0.3523371	-0.3910064	0.01829203	-0.07840641	-0.1605085	0.1103145	-0.5064119	0.1832812	-0.3197675	0.07357555	-0.02526221	0.1714094	0.06384776	0.3222743	0.6268326	0.4883911	0.6334848	-0.0856072	0.353469	-0.3636601	-0.4921025	-0.1845173	-0.2482803	0.09746773	-0.4443671	-0.4354592	-0.2355047	-0.3900153	-0.382217	0.5109155	-0.2335542	-0.268667	0.1400626
97	[1]	-0.2157589	-0.2157589	0.2667704	0.7345216	-0.4276548	0.7693396	0.1987612	0.0460772	0.7371461	0.6643076	0.6699882	-0.5592402	0.5506889	0.4237148	0.6654861	-0.5300676	0.3165653	-0.2561236	0.4459642	0.268038	-0.3668374	0.5945603	-0.2780631	0.3226645	0.4951283	0.1412189	0.6207126	0.5008829	-0.2335494	-0.3598488	0.2965093	-0.1730608	-0.5374896	-0.6821756	-0.5885365	0.5265122	-0.3102716	0.04528117	0.3284181	0.3484723	0.8034078	0.2991403	0.4986424	0.5295039	0.5576611	0.6985346	0.006196837	-0.5675938	-0.3493551	0.004261492	0.4172171
98	[1]	0.0760391	0.0760391	0.1716383	0.461707	-0.1703935	0.5401325	-0.1223358	0.1022851	0.5317661	0.5040779	0.345158	-0.5303802	0.1656556	0.1063344	0.35331	-0.08598153	-0.1256459	0.07325979	0.6417556	0.2726588	-0.03566835	0.1782457	0.1158781	0.03399465	0.3696902	-0.05502677	0.2202217	0.151481	-0.00275937	-0.1101666	-0.07023321	-0.1995062	-0.3220944	-0.5144728	-0.4223707	0.2919693	-0.4454884	0.03150146	0.4349931	0.2378165	0.4803276	0.1904199	0.3132536	0.207718	0.3133684	0.3634333	0.118302	-0.3390066	-0.09816708	0.2514089	0.09822038
99	[1]	-0.1116106	-0.1116106	-0.2239418	-0.1175589	-0.06913447	-0.04992044	-0.136581	-0.006097658	-0.2722197	-0.002704034	-0.01227569	0.1106796	-0.01985628	-0.1859569	-0.1670232	-0.1581026	-0.2499409	0.1935058	0.001153588	-0.07849093	0.2792507	-0.009096561	0.004253663	-0.08941972	-0.1683864	-0.317884	-0.1343677	0.07342655	-0.08500505	0.02929378	-0.05188661	-0.01832058	0.2575692	0.1486762	0.1473889	-0.108232	0.06372469	-0.02238835	-0.05894808	-0.1733468	-0.2060893	-0.108069	-0.1929465	-0.2055321	-0.0235465	0.0500121	0.001103363	0.04353883	0.04611761	-0.2100489	-0.2446577
100	[1]	-0.2666368	-0.2666368	0.3332801	0.7550364	-0.3028584	0.6982676	0.2230726	0.01224952	0.6989721	0.6634749	0.6118181	-0.4389369	0.4742798	0.2482399	0.5349573	-0.3396113	0.2127867	0.1119411	0.5769988	0.1763927	-0.2257286	0.4663165	-0.1710054	0.3829595	0.4062972	0.2932085	0.5367952	0.405584	-0.2961269	-0.2497915	0.2591807	-0.1603223	-0.2652142	-0.5783506	-0.449313	0.5875865	-0.2762427	0.1825565	0.4973115	0.4726423	0.6829832	0.3376839	0.5801253	0.4709741	0.5252621	0.5339705	0.02729514	-0.3141033	-0.2687663	0.03499546	0.492703
101	[1]	-0.3014219	-0.3014219	0.3880267	0.7050517	-0.4457578	0.6182633	0.1203257	-0.02054443	0.6497255	0.7531908	0.7104469	-0.4835546	0.5153304	0.07620605	0.368458	-0.4469622	0.3209961	0.04125915	0.3367201	0.1320261	-0.196747	0.5700677	-0.1012072	0.40638	0.3467899	0.1707498	0.4473181	0.6867232	-0.2560512	-0.3155958	0.3749401	-0.1137987	-0.2074574	-0.5829538	-0.3339964	0.4108519	-0.265704	0.1017839	0.2676941	0.1840289	0.6072345	0.1999285	0.5069644	0.316456	0.6138586	0.6457104	-0.1522878	-0.34155	-0.1858789	0.06889318	0.3953808
102	[1]	-0.01817334	-0.01817334	0.3016348	0.5544803	-0.4390372	0.6365476	-0.08158565	0.3190692	0.6989772	0.6276137	0.5324763	-0.6143981	0.406788	0.1965615	0.3727965	-0.3923586	0.1672792	-0.2207676	0.3841015	0.16179	-0.2115013	0.4834366	0.09851189	0.119587	0.2938178	-0.01306428	0.3873843	0.4943354	0.007263118	-0.2030862	0.211001	-0.1724269	-0.5294247	-0.5603168	-0.5209247	0.282924	-0.4065163	-0.03487372	0.2042689	0.1655865	0.615998	0.1785702	0.3086185	0.260332	0.5469793	0.7547451	-0.1499471	-0.5137185	0.04554975	0.351623	0.2140977
103	[1]	-0.1459556	-0.1459556	0.1732609	0.6035303	-0.287116	0.5980932	0.3565763	0.05205097	0.5996408	0.3829	0.4762539	-0.4729163	0.3255495	0.5495533	0.6759984	-0.4040346	0.2861129	-0.214023	0.3651359	0.2385073	-0.4534083	0.5229855	-0.2280829	0.315613	0.5674194	0.2102695	0.6671997	0.2333002	-0.3200787	-0.3125938	0.2436045	-0.1687423	-0.4764404	-0.5727893	-0.5400377	0.4905621	-0.1475281	0.1250191	0.4178384	0.3894262	0.6844911	0.320964	0.5571902	0.6602839	0.455106	0.4591049	0.2183768	-0.5842674	-0.3585292	-0.1409725	0.3465917
104	[1]	0.09920468	0.09920468	0.08766544	0.1731128	-0.239558	0.3170729	-0.2627269	0.3343322	0.3181835	0.3116034	0.2650218	-0.3024885	0.08092933	-0.0458203	0.002737196	-0.1065251	-0.06274166	-0.1382881	0.3280061	0.1223586	0.233627	0.06585462	0.2384693	-0.2003354	0.1187753	-0.1312263	-0.01624675	0.2603121	0.1159654	-0.08441359	-0.008086597	-0.09618199	-0.2533418	-0.2128752	-0.297122	0.03728667	-0.330051	0.07152253	0.2020332	-0.002939954	0.1554895	0.2005828	0.03118734	-0.07234677	0.3485774	0.3146378	-0.1064134	-0.1152849	0.2208995	0.4936559	-0.04850326
105	[1]	-0.2651191	-0.2651191	0.170895	0.6273835	-0.3705906	0.6628185	0.2022775	0.03781907	0.6504515	0.4772277	0.5688961	-0.4561156	0.507096	0.6290056	0.7620862	-0.5225188	0.3095544	-0.2641353	0.4108969	0.2037033	-0.4673103	0.5870343	-0.3503545	0.360397	0.4411511	0.193213	0.7138017	0.3984599	-0.1905478	-0.2667143	0.2707775	-0.1122927	-0.498267	-0.5388222	-0.5000263	0.4602095	-0.1572478	0.06207831	0.3050127	0.427457	0.7719676	0.3749115	0.4533883	0.5447794	0.5585075	0.621536	0.0357821	-0.6038518	-0.3778833	-0.1179992	0.4336444
106	[1]	-0.0944992	-0.0944992	0.2107509	0.6230179	-0.3020116	0.5119224	0.2272045	0.04554922	0.5047354	0.4534054	0.5436937	-0.5415169	0.3595965	0.3298299	0.5325138	-0.4514481	0.2408372	-0.08861386	0.3029019	0.17447	-0.2715226	0.5618438	-0.04556563	0.2497255	0.4653344	0.07588577	0.4578471	0.3784186	-0.3553678	-0.3574237	0.2438054	-0.2247705	-0.3433905	-0.545086	-0.4484562	0.3491797	-0.1673873	0.04988314	0.3403129	0.2342421	0.5957599	0.115694	0.4345567	0.4484887	0.4293928	0.4904442	0.1687935	-0.5547539	-0.3008099	-0.1159428	0.1556804
107	[1]	0.2008751	0.2008751	-0.07546552	0.2506624	-0.3836864	0.636697	0.002283089	0.2716792	0.5472293	0.4060275	0.1228033	-0.6022081	-0.1589477	0.2374839	0.1456835	-0.2558441	-0.2666219	-0.2985784	0.5457427	0.37116	0.06681807	-0.04979175	0.2111787	-0.006979319	0.5261401	-0.2061392	0.2493095	-0.0313197	-0.08730331	-0.3314989	-0.17926	-0.1296618	-0.5812738	-0.6782827	-0.5966998	0.08195199	-0.5331662	0.3403682	0.4345796	0.2149695	0.2669737	0.06467302	0.4898293	0.3638418	0.3162307	0.3582891	0.3540276	-0.4927358	0.1897655	0.3668068	0.06104625
108	[1]	0.006189983	0.006189983	0.2210738	0.511998	-0.4591793	0.758272	0.2850954	0.255627	0.6785401	0.6218382	0.4479989	-0.6610084	0.1422672	0.2615987	0.3630205	-0.4856093	-0.02230066	-0.2245272	0.4557132	0.306852	-0.1844533	0.2945942	0.02882138	0.2311048	0.5710038	-0.0446916	0.5029461	0.2428494	-0.2166661	-0.3029152	0.06566807	-0.1919225	-0.58116	-0.7535344	-0.6505674	0.3183796	-0.4328657	0.3333729	0.5636067	0.2256545	0.5237824	0.1612322	0.6281536	0.499394	0.519872	0.6030663	0.1922452	-0.5814734	0.0002806799	0.1252292	0.2199209
109	[1]	-0.1549613	-0.1549613	0.2230898	0.7814632	-0.5109222	0.7655322	0.2405446	0.1376487	0.770226	0.6579899	0.6447908	-0.6193072	0.4535737	0.4011337	0.6079225	-0.5971269	0.2908217	-0.244004	0.4735431	0.2013441	-0.2941095	0.5593359	-0.1688558	0.3846065	0.517393	0.1322942	0.6563115	0.4428436	-0.2849009	-0.4130504	0.2293363	-0.2264274	-0.5504824	-0.7221994	-0.6288332	0.4029234	-0.3247826	0.130733	0.4159475	0.358845	0.7519591	0.2185153	0.5600528	0.5826947	0.5949304	0.7485294	0.09413536	-0.6250039	-0.2395446	0.0698067	0.4005263
110	[1]	-0.2035345	-0.2035345	0.0161353	0.0664037	-0.2547026	0.1477441	-0.06410802	-0.2094859	0.09774143	0.2527597	0.08226603	0.03285416	0.03499357	-0.06303315	-0.05023127	-0.09396801	-0.1390151	0.08962335	0.1347989	-0.09389595	0.1274745	-0.0501323	0.008075599	0.2844737	-0.1665914	-0.09208475	-0.02886382	0.06326759	-0.09743164	-0.1582854	-0.1475518	0.2489945	0.1194142	-0.2281434	0.1166293	0.002100999	-0.1940439	-0.2122453	-0.2041992	-0.1526707	0.02942419	0.06849837	0.01518327	-0.158936	0.01490706	0.1512604	-0.1754814	0.02098663	-0.0001113425	-0.1053958	0.1285238
111	[1]	-0.06247692	-0.06247692	0.1448699	0.6365851	-0.4092021	0.7609173	0.01160855	0.1521292	0.7540155	0.6789347	0.5140233	-0.7119738	0.2220336	0.2353032	0.3597482	-0.4096329	0.1013434	-0.1223956	0.5587139	0.3271022	-0.1140531	0.29967	0.07927845	0.261039	0.5407025	0.04875186	0.4478166	0.4071237	-0.1944748	-0.3525602	0.1648285	-0.2269757	-0.4888687	-0.727271	-0.6115484	0.3000357	-0.4192589	0.3038684	0.4591931	0.3379153	0.5791474	0.2330616	0.5924478	0.4299945	0.5754255	0.5583957	0.1813987	-0.5014366	0.03295124	0.2616217	0.2508398
112	[1]	-0.1501272	-0.1501272	-0.03181584	0.4592237	-0.2657137	0.5746923	-0.04746376	-0.003144513	0.5049439	0.3899994	0.332232	-0.5450675	0.1563006	0.2684497	0.533797	-0.2509303	0.07279979	-0.1195723	0.4350858	0.3933767	-0.3334251	0.3938382	0.03816289	0.03537377	0.7247031	0.1232963	0.4715567	0.2087997	-0.2184497	-0.3571891	0.2613336	-0.1662342	-0.4327097	-0.6024754	-0.4856111	0.4082518	-0.1985338	0.1445531	0.398132	0.2261405	0.6072655	0.1772006	0.5260802	0.5930005	0.5171395	0.3351643	0.166303	-0.4635622	-0.08476401	-0.005055522	0.05573547
113	[1]	0.238215	0.238215	-0.01401566	0.3274707	-0.2396208	0.6185694	-0.06402124	0.3452493	0.5567933	0.3321082	0.1677698	-0.6524267	-0.06435376	0.2992923	0.3622074	-0.1782073	-0.1444062	-0.2918109	0.5512445	0.5137548	-0.0916089	0.09317603	0.1466003	-0.01581263	0.5564641	-0.02019326	0.3301077	-0.03627637	-0.06459826	-0.2230901	-0.08335616	-0.2584156	-0.6002873	-0.6152192	-0.5797246	0.1795728	-0.4347201	0.3704243	0.5391647	0.265459	0.4132679	0.0939593	0.4549114	0.4053077	0.3253514	0.3423771	0.2524552	-0.5159594	0.1031968	0.2534156	-0.08914503
114	[1]	-0.07690951	-0.07690951	0.1093467	0.3112392	-0.4572741	0.4486437	0.203011	0.143571	0.3553643	0.4091885	0.2747733	-0.3320215	0.05232772	0.07942715	0.08702844	-0.3434075	-0.1096535	-0.1186285	0.3146375	0.02828746	0.0844878	0.122072	0.07260332	0.3452548	0.1955824	-0.1378382	0.2476408	0.1530591	-0.167285	-0.256626	-0.07501589	-0.01182913	-0.2745034	-0.5092742	-0.3268183	0.04826479	-0.2669592	0.145512	0.1211555	-0.06059129	0.2329832	0.01042021	0.400017	0.2179306	0.2747023	0.458385	0.1326818	-0.3820588	-0.002806297	-0.06954779	0.1056344
115	[1]	0.1486104	0.1486104	0.002691387	0.4374074	-0.4240654	0.7093216	0.08268824	0.2793511	0.6156242	0.4357903	0.2571398	-0.5910485	0.01524169	0.4053976	0.3199454	-0.4426769	-0.08364985	-0.399731	0.5336979	0.3616082	-0.110378	0.1837165	0.03123838	0.09748599	0.5620243	-0.08459527	0.4604289	0.06803015	-0.1062397	-0.3203975	-0.08244777	-0.1120498	-0.6823559	-0.7306871	-0.6534769	0.1685193	-0.4786503	0.2826018	0.5207458	0.3019889	0.4011796	0.1616252	0.5006028	0.5138396	0.3987203	0.4909785	0.3045224	-0.6198134	0.073895	0.2840261	0.1302214
116	[1]	-0.1637226	-0.1637226	0.2961712	0.7260199	-0.2863673	0.6083256	0.413326	-0.01512124	0.6928338	0.5612334	0.5846742	-0.5529365	0.4446097	0.4036554	0.5923754	-0.376292	0.2865576	-0.05545848	0.3704354	0.1272218	-0.3521473	0.53811	-0.1419736	0.447868	0.4255334	0.2042	0.5785768	0.4025858	-0.2573085	-0.2779986	0.2823204	-0.2024058	-0.4106015	-0.62665	-0.5454969	0.4391036	-0.202354	0.01888637	0.2651757	0.3313426	0.7060014	0.1889486	0.5133638	0.522543	0.4910626	0.5621965	0.1118898	-0.5010149	-0.3056482	-0.1146654	0.4390694
117	[1]	0.08030628	0.08030628	-0.08907362	0.284247	-0.01188351	0.3856856	-0.1295686	0.03281864	0.3820477	0.2074179	0.04430026	-0.5238746	-0.07600325	0.3291104	0.3528362	0.03457521	-0.1560943	0.02056647	0.4728059	0.2127335	-0.05445082	-0.05132635	0.09933063	0.09713057	0.3388563	-0.08956905	0.2158109	-0.07055422	-0.05504744	-0.1844312	-0.1059074	-0.3155496	-0.3337961	-0.433881	-0.4005988	0.04339418	-0.2488103	0.08988129	0.3483344	0.1500423	0.3555086	0.1718369	0.2607818	0.2306652	0.01629547	0.1201824	0.3446576	-0.4323824	-0.08477318	0.1692301	0.06042206
118	[1]	0.08763972	0.08763972	-0.1729108	0.09658292	-0.3619125	0.307715	0.1021416	0.1741559	0.1338857	0.2016014	0.2167389	-0.1449511	0.0320913	0.1587283	0.2122845	-0.2884563	-0.1777095	-0.1584243	0.3937922	0.2077655	0.282755	0.1779224	0.03034653	-0.05608538	0.274022	-0.3795538	0.1404944	0.03223779	-0.09223363	-0.2409304	-0.1415509	-0.1350432	-0.1872215	-0.2515815	-0.2919541	-0.007974035	-0.2049518	-0.004774368	0.1449656	-0.06953306	0.1623511	0.08531405	0.1010977	0.1823137	0.2549836	0.3586871	0.1570063	-0.3107762	-0.1822026	0.03850546	-0.1635412
119	[1]	-0.2970146	-0.2970146	0.0924869	0.6564039	-0.5230026	0.7228932	0.1266616	-0.01152906	0.7554643	0.4745221	0.4433666	-0.5311917	0.2854013	0.5386298	0.6420467	-0.4272707	0.08349581	-0.2237428	0.5929311	0.1652246	-0.3668435	0.3915579	-0.2399095	0.3751359	0.4756704	0.2071647	0.5696961	0.1982073	-0.2697002	-0.3579094	0.07446199	-0.1052236	-0.5081575	-0.7234013	-0.5198523	0.5138768	-0.4036608	0.1978	0.370895	0.5067211	0.7255904	0.2994455	0.6081313	0.5741182	0.4926787	0.5660292	0.1056821	-0.5737089	-0.2329122	0.001110145	0.4905789
120	[1]	0.5502728	0.5502728	0.04706411	-0.3766424	0.1976927	-0.4980389	-0.06676721	0.1904172	-0.4706687	-0.1903713	-0.2227848	0.2921925	-0.1671359	-0.5380479	-0.5430066	0.1395832	-0.1292774	0.269751	-0.4022136	-0.2712936	0.547756	-0.2275489	0.4993721	-0.4377253	-0.3990318	-0.416777	-0.5890549	-0.1250402	0.06131002	0.115041	-0.247699	-0.0984782	0.3320354	0.4263848	0.2257093	-0.4746205	-0.001925216	-0.4549963	-0.3215524	-0.4792425	-0.5084559	-0.3054701	-0.6062975	-0.5628138	-0.3879083	-0.2155458	-0.09436447	0.469074	0.2259704	0.2956823	-0.5351769
121	[1]	-0.06683816	-0.06683816	0.09337632	0.6412203	-0.4973859	0.7135603	0.1256519	0.1592219	0.7027133	0.4973128	0.4608258	-0.6667844	0.2439802	0.4641093	0.5672088	-0.5280784	0.03419901	-0.1919879	0.5577547	0.2062263	-0.3211061	0.382767	-0.02855967	0.330788	0.4482167	0.0397166	0.5178838	0.1933446	-0.3353159	-0.3986763	-0.01605278	-0.1737621	-0.5726756	-0.714811	-0.602906	0.2930498	-0.4458126	0.173766	0.4510583	0.4108628	0.6497053	0.2581454	0.5443577	0.467048	0.4505737	0.6145746	0.2003534	-0.6942827	-0.1318771	0.07003839	0.3093289
122	[1]	-0.2247108	-0.2247108	0.1948778	0.7620936	-0.4813572	0.7438034	0.1421822	0.04382319	0.7552977	0.6109509	0.6081652	-0.6148234	0.4167803	0.4042626	0.5984004	-0.559415	0.26983	-0.2130768	0.5196668	0.1992107	-0.3327591	0.5225243	-0.1599307	0.3029009	0.4996087	0.1277838	0.5548201	0.4131167	-0.250077	-0.4026647	0.246794	-0.3244374	-0.529459	-0.7055703	-0.5968168	0.4242494	-0.3616241	0.1041574	0.4284601	0.4161763	0.761037	0.2821734	0.5423985	0.5737672	0.5166498	0.6872718	0.1255972	-0.6368783	-0.2344676	0.1059528	0.4157269
123	[1]	-0.07714447	-0.07714447	0.2937566	0.6619438	-0.3692721	0.7836386	0.1898835	0.1610094	0.7918899	0.6403676	0.5317823	-0.7206346	0.234562	0.4129844	0.524329	-0.4420679	0.1387237	-0.1460026	0.5772757	0.3590663	-0.2562756	0.369506	-0.01989142	0.2753705	0.635953	0.1611384	0.5752022	0.3243589	-0.2138812	-0.2990328	0.1919312	-0.3125932	-0.5239404	-0.7586341	-0.6089088	0.4351731	-0.3865472	0.3874608	0.6435804	0.4503508	0.6759996	0.2895574	0.724091	0.5740477	0.5709338	0.5313004	0.2688435	-0.6176958	-0.1097299	0.1298357	0.3280582
124	[1]	-0.1710241	-0.1710241	0.2739248	-0.106862	-0.0165167	-0.2234016	0.09655489	-0.2354831	-0.1644489	0.01418329	0.02908054	0.2289073	0.04350388	-0.1091144	-0.186823	0.07623217	0.0156392	0.2122312	-0.07260774	-0.2337463	0.06737728	-0.1069346	-0.06491526	0.1903847	-0.2618851	0.08208286	-0.2332822	0.07082534	-0.08051473	0.001935819	-0.1071625	0.4735851	0.4016953	0.09113238	0.4625371	-0.08399474	0.06406652	-0.1584907	-0.2226572	-0.1490508	-0.1713482	0.1615724	-0.08543521	-0.2786495	-0.08128393	-0.2044979	-0.2042467	0.2768266	-0.188131	-0.1602472	0.2216712
125	[1]	0.06833782	0.06833782	-0.2485045	-0.5529237	0.0386203	-0.512278	-0.1231255	0.1247491	-0.6717703	-0.4203914	-0.2330493	0.4269118	-0.2095548	-0.3500126	-0.4702037	0.1145069	-0.222883	-0.09054637	-0.394163	-0.2249386	0.2713137	-0.1508273	0.1954859	-0.3435969	-0.479814	-0.4178586	-0.4420415	-0.1335204	0.2204312	0.1776493	-0.1988837	0.2079106	0.2961798	0.6290015	0.3871322	-0.5243912	0.1897069	-0.197242	-0.3108289	-0.5097741	-0.5699414	-0.270138	-0.533467	-0.4549946	-0.306256	-0.1329547	-0.1989278	0.1849158	0.240584	-0.09318923	-0.467478
126	[1]	0.02038954	0.02038954	-0.1220434	-0.005102015	-0.09369506	-0.1280775	-0.02225226	-0.1295589	-0.2128444	0.1282151	0.09051132	-0.05981364	0.01299804	-0.4127357	-0.2657992	-0.1217753	-0.2389361	0.1665622	-0.1073604	-0.1540826	0.07479265	0.1169159	0.3387952	-0.2141631	-0.04580239	-0.4062687	-0.3290321	0.06762111	-0.2120432	-0.1560341	-0.1161258	-0.01080338	0.1115024	-0.01860996	-0.01379713	-0.1218097	-0.05598272	-0.3307658	-0.03630909	-0.3145988	-0.1643902	-0.2528296	-0.2289727	-0.1599305	0.006158066	0.130046	-0.06104425	-0.05856316	0.1076331	0.05135872	-0.2074188
127	[1]	-0.504389	-0.504389	0.1581914	0.3084624	-0.5029017	0.2402089	0.2220085	-0.2541359	0.2161616	0.243011	0.3299137	-0.09496858	0.2789516	0.1037053	0.3068511	-0.4005716	0.1585265	-0.003482398	0.1174005	0.01738487	-0.3567936	0.3764766	-0.2538616	0.2373838	0.305869	0.2578559	0.2208637	0.2524893	-0.3006922	-0.3305738	0.2121736	0.1658128	0.006046133	-0.3548299	0.05243448	0.3386694	-0.08930046	0.09491897	0.04097766	0.1293567	0.3445422	0.1703714	0.4173657	0.3500262	0.4105128	0.2445035	-0.2573418	-0.1279402	-0.2329684	-0.288957	0.4521335
128	[1]	-0.09063259	-0.09063259	0.3044874	0.6898841	-0.3036602	0.7265533	-0.02584037	0.1662165	0.8399314	0.6281338	0.5818793	-0.6137076	0.4081959	0.3995909	0.5719886	-0.3330324	0.3287612	-0.3214518	0.5122113	0.3483344	-0.349128	0.5293907	-0.03393389	0.1930374	0.5177558	0.2542847	0.5160901	0.4903535	-0.0479132	-0.2311751	0.3712713	-0.2537076	-0.5978958	-0.6422535	-0.6129242	0.4919741	-0.3518384	0.1693909	0.382866	0.476088	0.7844777	0.3202237	0.5381215	0.5303184	0.6323354	0.6040749	0.04122655	-0.4948021	-0.08257745	0.2849497	0.3138401
