X.1.	miR.001	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
11	[1]	-0.1283727	-0.1283727	0.2039419	0.6883547	-0.4189904	0.7908223	0.2519004	0.06375102	0.7601325	0.6301368	0.5518774	-0.708598	0.2911622	0.4422411	0.583472	-0.5577862	0.2076653	-0.1900656	0.5429898	0.360768	-0.323077	0.4324801	-0.08640293	0.3237841	0.6487676	0.1307276	0.5891004	0.3187637	-0.302171	-0.3935503	0.2201596	-0.285092	-0.5475753	-0.7634785	-0.637589	0.397197	-0.3658625	0.3024248	0.5682318	0.4400346	0.7064766	0.2131445	0.6682714	0.6554083	0.5539311	0.6076057	0.1995297	-0.6516164	-0.2296694	0.04805625	0.3575596
12	[1]	0.02165413	0.02165413	-0.07173333	0.3681253	0.07154456	0.3667254	-0.1624119	0.04475742	0.4179118	0.2088892	0.09866184	-0.3794939	-0.006541755	0.2265361	0.32543	0.1231532	0.03198122	-0.17318	0.3904008	0.4470763	-0.2373398	0.161214	-0.00190188	0.1538553	0.5221011	0.2455744	0.2971629	0.0587535	-0.1137681	-0.1581728	0.2382454	-0.2400686	-0.3804605	-0.4145668	-0.4422934	0.3393068	-0.139135	0.3839055	0.3938995	0.3351574	0.3928436	0.1666924	0.4975328	0.4935385	0.2865617	0.03697223	0.3323637	-0.3056756	0.03247138	0.1024898	-0.01171691
13	[1]	-0.05927987	-0.05927987	0.01902643	-0.4708073	0.4064192	-0.7478587	-0.2021031	-0.2573483	-0.6508368	-0.4776578	-0.3479221	0.6095107	-0.1466038	-0.3833572	-0.4878302	0.45252	0.010332	0.3130809	-0.5357298	-0.3350167	0.1363421	-0.344509	-0.04331424	-0.009072353	-0.7187765	0.02818314	-0.5436334	-0.1608495	0.123989	0.3085885	-0.126658	0.3619955	0.6646471	0.7164354	0.7150197	-0.3214473	0.3610961	-0.2965581	-0.5245022	-0.3429891	-0.5829635	-0.1100316	-0.5676816	-0.6391711	-0.4731879	-0.5726096	-0.3620316	0.6580237	0.02703817	-0.1650965	-0.05270552
14	[1]	0.06360386	0.06360386	0.0496956	0.5333454	-0.4080899	0.7550053	-0.05322483	0.3117841	0.657839	0.5984083	0.452473	-0.6486528	0.2012927	0.2389017	0.4254288	-0.3268749	-0.007360685	-0.2908016	0.6114669	0.4766399	-0.02067859	0.3074327	0.06756094	0.05549558	0.5869583	-0.05054617	0.428084	0.312021	-0.1362946	-0.41192	0.1061568	-0.2460892	-0.5677415	-0.6818322	-0.6456409	0.278483	-0.4610388	0.2345985	0.5043495	0.2507106	0.5555179	0.2990994	0.4860803	0.4365734	0.5495823	0.5391106	0.1722688	-0.4908491	0.06175357	0.2868848	0.100345
15	[1]	0.1340476	0.1340476	0.03951448	0.2439799	-0.5789652	0.6223904	0.04489137	0.4041828	0.5039993	0.4238018	0.2590575	-0.5346109	-0.04832148	0.2231967	0.1330079	-0.4089683	-0.2237885	-0.4145487	0.4215298	0.1903065	0.1312468	0.08982071	0.2005686	-0.04107529	0.36263	-0.3245098	0.3278306	0.06690898	-0.001953367	-0.3112316	-0.2325102	-0.02186394	-0.6094382	-0.5787014	-0.5755533	-0.008380174	-0.5185878	0.1747721	0.3387051	0.06899606	0.2713946	0.04174788	0.3371729	0.2538144	0.401763	0.5638322	0.203519	-0.5062042	0.2959964	0.3570358	0.01455522
16	[1]	0.06068447	0.06068447	0.1585301	0.3953808	-0.4445968	0.6277708	-0.03824063	0.2731825	0.5766707	0.5089658	0.3445258	-0.5060866	0.05696615	0.1288645	0.2511198	-0.2653823	-0.0183357	-0.3423489	0.5762025	0.3227054	0.08276286	0.22901	0.2148447	-0.01062716	0.5088673	-0.05729085	0.3018824	0.1875895	0.03868627	-0.213555	0.05628386	-0.1505187	-0.4999772	-0.5954219	-0.5323967	0.2008031	-0.491677	0.2468591	0.387519	0.1685348	0.4141946	0.0196333	0.4621662	0.4030969	0.4993221	0.5283461	0.08986496	-0.4394359	0.0732303	0.3153568	0.03006
17	[1]	-0.2626551	-0.2626551	0.2560848	0.2423246	-0.1982859	0.06760675	0.1082733	-0.0991911	0.2333349	0.3255449	0.2672688	-0.03558666	0.245462	-0.2144068	-0.0516461	-0.07046655	0.204003	0.2798599	-0.2043778	-0.2700095	-0.1629079	0.1698948	0.01135654	0.390921	-0.1324293	0.1536495	0.207902	0.3125905	-0.05213446	0.07629028	0.1150177	0.1994461	0.1087449	-0.05403571	-0.003574587	0.1724995	0.01510656	-0.07710858	-0.204057	-0.1454154	0.1348661	-0.07061232	0.1385909	-0.1022973	0.2961212	0.2770945	-0.4476128	0.1298576	0.06524133	0.07795161	0.4213224
18	[1]	0.3245878	0.3245878	-0.3064057	-0.5022981	0.1046874	-0.4362018	-0.2884163	0.3092641	-0.4967606	-0.3880823	-0.3291344	0.06935973	-0.3986918	-0.4251375	-0.5489642	0.1513362	-0.3601441	-0.00413976	-0.3871816	-0.1184739	0.3573719	-0.3643955	0.3804277	-0.4268288	-0.3849848	-0.5028056	-0.525105	-0.2298401	0.1770608	0.1457601	-0.3191983	-0.02476591	0.119594	0.4531105	0.1306017	-0.5358236	0.009865175	-0.1035164	-0.2067389	-0.500029	-0.5721909	-0.2552214	-0.5434663	-0.5291654	-0.2755098	-0.2146866	-0.08912043	0.1877116	0.5070718	0.1598907	-0.5140514
19	[1]	-0.2197708	-0.2197708	0.354212	0.7670139	-0.5428205	0.8080576	0.1897364	0.1265816	0.859256	0.7912612	0.6795497	-0.5787798	0.4506647	0.23407	0.4545353	-0.5549811	0.3125095	-0.1114396	0.4788834	0.149229	-0.270172	0.5010951	-0.1216421	0.4249492	0.4582843	0.1721536	0.6198886	0.5359424	-0.1954547	-0.265401	0.2596576	-0.1245906	-0.4751524	-0.7070611	-0.5839102	0.4798498	-0.3926498	0.2025363	0.3825522	0.3738575	0.7247039	0.2628444	0.6277668	0.4989954	0.6720868	0.7777295	-0.05571333	-0.4575801	-0.1458549	0.2309253	0.5264217
20	[1]	-0.2434733	-0.2434733	0.2711377	0.7908735	-0.5110007	0.7841461	0.312845	0.01524261	0.8194832	0.6891546	0.6396435	-0.6070334	0.4305053	0.3656398	0.6188315	-0.5404104	0.2744402	-0.1548823	0.4683468	0.1875342	-0.4061127	0.5551866	-0.1918206	0.4499059	0.5876287	0.2207883	0.6944086	0.4262176	-0.3527629	-0.403136	0.2599907	-0.164321	-0.5302708	-0.7922252	-0.6263203	0.5216458	-0.342389	0.1853661	0.4374564	0.396194	0.7817882	0.2228626	0.6973896	0.630227	0.6399128	0.6987472	0.09186236	-0.5897457	-0.2670707	0.03357223	0.526704
21	[1]	-0.05221913	-0.05221913	0.1105608	0.5157398	-0.2860019	0.6172591	0.1499411	0.1650513	0.5307401	0.4007401	0.3917078	-0.5454609	0.1510867	0.3746098	0.5694214	-0.3029845	0.02453933	-0.1947451	0.5558017	0.2707131	-0.2072343	0.3237937	0.009859758	0.1906026	0.5088219	0.03354116	0.4229788	0.1295022	-0.3331518	-0.368182	0.06892361	-0.2020622	-0.4465304	-0.5826807	-0.5319859	0.3344991	-0.2706695	0.1869936	0.5189226	0.3309792	0.6059452	0.2812589	0.5046285	0.4965801	0.3489566	0.4096376	0.3110767	-0.5104536	-0.2073672	-0.06272036	0.08812295
22	[1]	-0.0734807	-0.0734807	0.3117603	0.5823658	-0.4091501	0.7017212	0.2030228	0.1405166	0.7651041	0.6099117	0.4883766	-0.6711384	0.2087401	0.2746231	0.4299742	-0.3328907	0.1534019	-0.08623657	0.4582073	0.1731706	-0.1996269	0.3814402	0.08169478	0.2577002	0.4996825	0.07101959	0.5306356	0.3174774	-0.179281	-0.2429285	0.1774384	-0.2095682	-0.4579279	-0.6802606	-0.5601957	0.3552802	-0.4485665	0.1886995	0.3911755	0.2737292	0.6160468	0.08848036	0.5692932	0.4780853	0.5026135	0.6095577	0.1106296	-0.5345179	-0.09224855	0.173617	0.3267364
23	[1]	-0.1864509	-0.1864509	0.267348	0.7578903	-0.4136707	0.7396918	0.1486748	0.07771075	0.7109678	0.674457	0.6677774	-0.658101	0.4292429	0.2910674	0.5214787	-0.5202363	0.2701856	-0.1073102	0.4837194	0.2899682	-0.2818692	0.6227014	-0.02604822	0.2970884	0.5816728	0.1004533	0.5501089	0.5352725	-0.255563	-0.3659885	0.3619856	-0.2935164	-0.4548356	-0.6982718	-0.5868998	0.4474456	-0.2892625	0.1906958	0.4745514	0.3219867	0.6935842	0.1758714	0.6045098	0.571987	0.6297897	0.6815823	0.09159711	-0.6143086	-0.2013365	0.0733376	0.2703978
24	[1]	-0.003495506	-0.003495506	-0.1451048	0.3886919	-0.09098216	0.4879595	0.04282374	0.03085461	0.346631	0.2787802	0.2598971	-0.4187369	0.1363174	0.3788222	0.5078365	-0.1934351	-0.02881766	-0.206636	0.5572868	0.454466	-0.1368783	0.3504318	-0.07160008	0.0002179118	0.6254144	-0.03018394	0.3249059	0.1164014	-0.1957142	-0.3391339	0.1881041	-0.2304917	-0.3810906	-0.5082706	-0.4605559	0.297785	-0.1594883	0.1311581	0.4424114	0.3017549	0.4671779	0.2984586	0.3603555	0.5716171	0.2992562	0.2162682	0.4247962	-0.5112449	-0.2367541	-0.08322891	-0.05815903
